age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
47,admin.,divorced,university.degree,no,no,no,cellular,nov,tue,356,9,999,0,nonexistent,3.4,95.418,-50.7,6.1610000000000005,4928.1
52,admin.,unknown,university.degree,no,no,no,cellular,nov,tue,300,5,999,0,success,-0.8999999999999999,94.463,-48.8,2.4619999999999997,4776.2
88,retired,divorced,professional.course,unknown,yes,no,cellular,nov,thu,356,6,999,0,success,0.30000000000000004,95.715,-48.3,2.01,4691.6
59,admin.,married,basic.4y,unknown,no,no,cellular,jun,tue,206,6,999,0,success,3.4,95.965,-49.8,6.1610000000000005,4928.1
43,admin.,single,high.school,no,no,no,cellular,mar,fri,379,6,999,0,nonexistent,0.19999999999999996,94.343,-58.0,2.731,4799.1
60,admin.,married,basic.9y,no,no,no,cellular,nov,fri,347,7,999,0,nonexistent,-0.8999999999999999,93.701,-39.4,2.069,4776.2
73,admin.,divorced,university.degree,no,no,no,cellular,nov,fri,460,5,999,0,success,1.9,94.7,-50.0,5.221,4895.8
61,admin.,married,high.school,no,no,no,cellular,nov,tue,313,7,999,0,success,3.4,95.965,-49.8,6.064,4928.1
68,admin.,single,basic.9y,no,yes,no,cellular,nov,wed,759,5,999,0,nonexistent,0.30000000000000004,95.715,-48.3,2.04,4691.6
45,admin.,single,university.degree,no,no,no,cellular,nov,mon,363,5,999,0,nonexistent,3.4,94.944,-44.1,6.165,4928.1
78,admin.,married,unknown,no,yes,no,cellular,nov,fri,401,6,999,2,success,-1.4,93.879,-37.8,2.003,4717.5
54,admin.,married,basic.9y,unknown,no,no,cellular,nov,tue,446,5,999,0,nonexistent,3.4,95.418,-50.7,6.1610000000000005,4928.1
74,admin.,married,basic.9y,no,yes,no,cellular,nov,thu,239,5,999,1,success,0.19999999999999996,94.575,-55.1,2.61,4799.1
72,admin.,divorced,university.degree,no,no,no,telephone,nov,wed,129,5,999,0,success,1.9,94.7,-50.0,5.863,4895.8
61,admin.,married,basic.9y,no,no,no,cellular,nov,fri,197,5,999,0,success,3.1,95.494,-44.4,6.064,4891.0
50,admin.,married,basic.9y,unknown,no,no,cellular,may,fri,638,7,999,0,success,3.1,95.494,-44.4,6.064,4891.0
58,self-employed,married,university.degree,no,yes,no,cellular,nov,mon,595,6,9,1,success,0.19999999999999996,94.869,-42.8,1.8519999999999999,4708.7
52,self-employed,married,high.school,no,no,no,cellular,nov,fri,1619,12,999,0,success,3.1,95.494,-44.4,6.064,4891.0
45,admin.,married,professional.course,no,yes,yes,telephone,nov,mon,268,5,999,0,success,3.4,95.965,-49.8,6.065,4928.1
83,admin.,married,high.school,no,no,no,cellular,nov,mon,2366,6,999,1,success,-1.4,94.149,-38.1,1.914,4717.5
53,admin.,single,high.school,no,yes,no,cellular,nov,tue,1195,7,999,0,success,3.1,95.494,-44.4,6.057,4891.0
100,admin.,married,unknown,no,no,yes,cellular,nov,tue,2035,5,3,1,success,0.30000000000000004,95.527,-46.3,2.104,4691.6
49,admin.,married,basic.9y,no,yes,no,telephone,nov,thu,838,9,999,0,nonexistent,3.1,95.494,-44.4,6.0600000000000005,4891.0
45,admin.,single,professional.course,no,no,yes,telephone,nov,thu,401,11,999,0,success,3.4,95.418,-50.7,6.163,4928.1
70,admin.,divorced,university.degree,no,yes,no,cellular,apr,mon,538,7,999,0,nonexistent,0.19999999999999996,94.575,-55.1,2.666,4799.1
49,admin.,married,basic.4y,no,yes,no,cellular,may,mon,304,5,999,0,success,3.1,95.494,-44.4,6.057,4891.0
48,admin.,divorced,professional.course,no,yes,no,cellular,nov,mon,318,6,999,0,success,3.1,95.494,-44.4,6.057,4891.0
59,admin.,married,basic.9y,no,no,no,cellular,may,tue,653,5,999,0,success,0.19999999999999996,94.393,-54.2,2.4909999999999997,4799.1
58,services,married,basic.4y,no,yes,no,cellular,nov,mon,286,5,999,0,success,1.9,94.7,-50.0,5.391,4895.8
49,admin.,married,university.degree,no,yes,no,cellular,nov,mon,667,5,999,0,success,0.19999999999999996,94.393,-54.2,2.464,4799.1
56,admin.,married,high.school,no,yes,no,cellular,nov,mon,755,5,999,0,success,1.9,94.7,-50.0,5.391,4895.8
63,admin.,married,basic.9y,unknown,no,no,telephone,nov,fri,266,14,999,0,success,3.4,95.965,-49.8,6.159,4928.1
56,admin.,married,basic.9y,no,yes,yes,cellular,nov,tue,653,5,999,0,success,3.1,95.494,-44.4,6.056,4891.0
43,admin.,single,basic.6y,unknown,yes,no,cellular,nov,tue,817,7,999,0,success,0.19999999999999996,94.393,-54.2,2.4909999999999997,4799.1
51,admin.,married,high.school,no,yes,no,cellular,may,thu,266,5,999,0,success,3.1,95.494,-44.4,6.055000000000001,4891.0
45,admin.,married,basic.9y,no,yes,no,cellular,nov,mon,341,18,999,0,success,3.1,95.494,-44.4,6.057,4891.0
58,admin.,married,university.degree,no,no,no,cellular,nov,thu,439,6,999,0,success,3.1,95.494,-44.4,6.055000000000001,4891.0
65,admin.,married,basic.4y,unknown,no,no,cellular,nov,wed,403,6,999,0,success,3.4,94.944,-44.1,6.164000000000001,4928.1
